_year,_event,_keywords,_description,_link,_id
2002-2015,女同性恋社团同语成立Lesbian Commnity COMMONLANGUAGE,"社团与组织Communities and Orgnizations,2005", 2005年，女同性恋社团同语成立。关注中国在性与性别、性倾向、性别身份与性别表达上遭受歧视和暴力的群体，旨在通过社群培力、援助服务、公众教育和政策倡导，推动公众对多元性别的认知，消除歧视和暴力，争取平等权益。In 2005，a lesbian community named Tongyu(COMMONLANGUAGE) was established. Focusing on groups in China who suffer from discrimination and violence in relation to sex and gender，sexual orientation，gender identity and gender expression，it aims to promote public awareness of gender diversity，eliminate discrimination and violence，and strive for equal rights and interests through social empowerment，assistance services，public education and policy advocacy.,https://www.tycommonlanguage.com/, 同语
2002-2015,同志之声--微博Tong zhi zhi sheng(LGBTQ+ Voices)--Weibo,"社团与组织Communities,2009",同志之声微博网创建于2009年的非营利同志公益媒体。致力于以更科学、更健康的角度推动和促进公众对同志的了解与认同。分享“同志历史上的今天”板块，健康、科学的传播同志文化。通过这个平台了解同志的历史、同志新闻，正确认知同志，关注同志活动，找寻健康的生活力量。Tong zhi zhi sheng(LGBTQ+ Voices) Weibo blog was founded in 2009，a non-profit LGBTQ+ public welfare media. We are committed to promoting and promoting public understanding and recognition of gays from a more scientific and healthy perspective. Share the "Today in gay history" plate，healthy and scientific dissemination of gay culture. Through this platform to understand the history of comrades，comrades news，correct cognition of comrades，pay attention to gay activities，to find a healthy life force.,https://m.weibo.cn/u/1664065962?luicode=10000011&lfid=1005053094691377, 同志之声
2021-2025,同性恋交友应用Grindr从中国应用商店下架Grindr removed from Apple's App Store in China,"社会Society,2025",女同性恋、男同性恋、双性恋、变性人士和酷儿（LGBTQ） 交友约会应用 Grindr 已从中国的苹果应用商店下架。据西方媒体报道，在腾讯和华为等公司运营的一些中国安卓商店中也已找不到该应用程序了。Grindr，a lesbian，gay，bisexual，transgender and Queer (LGBTQ) dating app，has been removed from Apple's App Store in China. The app is also no longer available in some Chinese Android stores operated by companies such as Tencent and Huawei，according to Western media reports.,//,Grindr
2002-2015,同性恋亲友会微博网PFLAG China,"社团与组织Communities,2008",同性恋亲友会于2008年在广州成立，是为中国大陆LGBT群体及其亲人提供服务和支持的非政府组织。其宗旨：客观科学全面地向社会宣传同性恋知识；倡导健康生活理念，帮助同性恋者实现自我认同；增进同性恋者及其亲友间的理解沟通，创建和谐的同性恋生活环境。让同性恋人群不再因性倾向而受到伤害和歧视，获得应有的尊严和平等权利。The PFLAG was established in Guangzhou in 2008. It is a non-governmental organization that provides services and support to the LGBT community and their relatives in mainland China. Its purpose is to objectively，scientifically and comprehensively promote knowledge about homosexuality to the public; advocate healthy lifestyle concepts and help homosexuals achieve self-identification; enhance understanding and communication between homosexuals and their relatives and friends，and create a harmonious homosexual living environment. It will help homosexuals no longer be harmed and discriminated against because of their sexual orientation，and gain the dignity and equal rights they deserve.,https://www.chuse8.com/, 同性恋亲友会
2002-2015,杭州向阳花开LGBT,"社团与组织Communities,2010",杭州向阳花开LGBT现名虹巢RainbowNest，是杭州同云文化传媒有限公司的一个面向杭州地区性与性别多元族群的原创文化品牌。该品牌致力于为性与性别多元族群提供情感支持与陪伴和娱乐及交友平台，并向群体内部及外界传播多元平等的声音与族群文化。Hangzhou Xiangyanghuakai LGBT，now known as RainbowNest，is an original cultural brand for sexual and gender diverse groups in Hangzhou by Hangzhou Tongyun Culture Media Co. Ltd. The brand is committed to providing emotional support and companionship，entertainment and friendship platforms for sexual and gender diverse groups，and spreading diverse and equal voices and ethnic culture to the group and the outside world.,https://weibo.com/hzlgbt, 向阳花开
2002-2015,上海骄傲节Shanghai Pride,"社会Society,2009",上海骄傲节首届活动于2009年6月7日至14日在一间酒吧举行。这个活动由上海LGBT举办，为中国大陆首次同性恋主题庆祝活动，活动期间上演了艺术展、电影放映、文学之夜和体育比赛等一系列活动，但当中曾经有中华人民共和国官员要求主办单位取消部分活动。此后每年6月份上海骄傲节活动均会举办。2020年8月13日，因为疫情，上海骄傲节团队宣布取消所有即将举行的活动，并且终止未来的活动计划。The first Shanghai Pride Festival was held from June 7 to 14 2009 at a bar. The event，organized by Shanghai LGBT，was the first gay-themed celebration in mainland China，and featured a series of art exhibitions，film screenings，literary nights，and sports competitions，but officials from the People's Republic of China asked organizers to cancel some of the events. Shanghai Pride has been held every June since then，and on August 13 2020，the Shanghai Pride team announced the cancellation of all upcoming events and the termination of plans for future events due to the epidemic.,https://shpride.com/2020/08/13/ending/, 上海骄傲节
2016-2020,上海骄傲节永久关停Shanghai Pride Festival permanently shut down,"社会Society,2020",2020年8月13日，因为疫情，上海骄傲节团队宣布取消所有即将举行的活动，并且终止未来的活动计划。On August 13 2020，the Shanghai Pride team announced the cancellation of all upcoming events and the termination of plans for future events due to the epidemic.,//, 上海骄傲节永久关停
2002-2015,第一届中国酷儿独立影像巡展The First China Queer Independent Video Touring Exhibition,"文化Culture,2008",2008年4月，第一届中国酷儿独立影像巡展相继在北京、上海、武汉、长沙、郑州、鞍山、广州、南宁、桂林、柳州、贵阳、成都、昆明举行，数十部中国独立酷儿影像得以轮流展出（同语、LES+、北京酷儿电影节组委会、中国酷儿独立影像小组 联合主办）。In April 2008，the first China Queer Independent Video Touring Exhibition was held in Beijing，Shanghai，Wuhan，Changsha，Zhengzhou，Anshan，Guangzhou，Nanning，Guilin，Liuzhou，Guiyang，Chengdu，Kunming，with dozens of Chinese independent Queer videos on display in rotation (co-sponsored by Tongyi，LES+，the Organizing Committee of the Beijing Queer Film Festival，and the China Queer Independent Video Group).,https://groups.google.com/g/cdtzzx/c/n2ZIJkdxGpE?pli=1, 酷儿独立影像
2021-2025,清华大学学生因摆放提供10面彩虹旗被校方处分Tsinghua University students disciplined by university for placing and offering 10 rainbow flags,"社会Society,2022",2022年5月，两位清华大学学生在校园超市内的小桌上摆放10面彩虹旗，并留下‘请自取#Pride’纸条。后被校方处分。In May 2022，two Tsinghua University students placed 10 rainbow flags on a small table in a campus supermarket and left a 'Please pick up your own #PRIDE' note. They were later disciplined by the university.,https://cnlgbtdata.com/files/uploads/2023/02/%E5%BD%A9%E8%99%B9%E6%97%97-20220930-%E5%AD%A6%E7%94%9F%E7%94%B3%E8%AF%89%E7%AD%94%E5%A4%8D%E6%84%8F%E8%A7%81%E4%B9%A6.pdf, 清华彩虹旗
2002-2015,复旦大学开设‘同性恋研究’公选课Fudan University offered a undergraduate course Queer Studies,"教育Education,2005",2005年，复旦大学开设本科生公选课《同性恋研究》。In 2005，Fudan University offered a public undergraduate course，Queer Studies.,//,同性恋研究
2002-2015,National Summer Camp for College Students on Gay and Lesbian Culture,"教育Education,2005",夏令营的宗旨是：建立对大学生同志友好的校园环境培养新一代的大学生，让他们在获得更多资讯、摈弃既有偏见的基础上更多地参与到同志运动中来。The camp's mission is to create a gay-friendly campus environment for a new generation of college students to become more involved in the gay and lesbian movement based on a more informed，non-judgmental approach.,//,全国大学生同志文化夏令营
2002-2015,第一届北京同性恋文化节The First Beijing Gay and Lesbian Cultural Festival,"文化Culture,2005",2005年9月15日至10月15日，第一届北京同性恋文化节在北京举行。文化节举行同性恋文化论坛、媒体回放、现场艺术展览、戏剧表演、歌会、反串大赛、电影专题放映和交流等活动。这些活动的目的是：改变中国社会对同性恋文化的无知和歧视，促进大众对同性恋文化的了解，推进同性恋文化自身的建设，鼓励创造性。From September 15 to October 15 2005，the first Beijing Gay and Lesbian Cultural Festival will be held in Beijing. The festival featured gay and lesbian cultural forums，media playbacks，live art exhibitions，theater performances，song festivals，a reverse-strike competition，special film screenings and exchanges，and other activities. The purpose of these activities is: to change the ignorance and discrimination against gay culture in Chinese society，to promote public understanding of gay culture，to advance the construction of gay culture itself，and to encourage creativity.,https://fanhall.com/group/thread/9671.html, 第一届北京同性恋文化节
2002-2015,女同志杂志《LES+》创刊Lesbian Magazine LES+ Launched,"书籍刊物Publications,2005",《les+》是一份以les(女同性恋人)生活为主，+其他性少数群体及女性视觉的女同杂志。宗旨是为让同志本身在内的人们听到更多的声音，看见同性恋群体明亮自信的生活。Les+ is a lesbian magazine that focuses on the lives of lesbians and other sexual minorities and women's visions. The aim is to make more voices heard and to see the bright and confident lives of the queer community，including queer people themselves.,https://baike.baidu.com/item/LES%2B/2988847, LES+
2002-2015,支持中国同性婚姻立法万人签名展10000 signatures in support of China's same-sex marriage legislation,"社会Society,2008", 2008年3月，“支持中国同性婚姻立法万人签名展”在北京举行。 In March 2008，an exhibition of 10000 signatures in support of China's same-sex marriage legislation was held in Beijing.,//, 支持中国同性婚姻立法万人签名展
2002-2015,首次公开庆祝全球同性恋骄傲月First Public Celebration of Global Pride Month,"社会Society,2005",2005年6月，中国女男同性恋公开庆祝全球同性恋骄傲月活动分别在北京、沈阳、福州举行。In June 2005，Chinese lesbians and gays publicly celebrated Global Pride Month in Beijing，Shenyang and Fuzhou.,,公开庆祝全球同性恋骄傲月
2002-2015,同志杂志《点 Gayspot》创刊,"书籍刊物Publications,2007",2007年3月，同志杂志《点 Gayspot》创刊。In March 2007，the gay magazine Gayspot was launched.,https://exhibits.stanford.edu/chinese-ngos/catalog/xq949wg3216, 点gayspot
2002-2015,中央电视台播出同性恋与AIDS预防专题节目CCTV broadcasts special program on homosexuality and AIDS prevention,"社会Society,2005",2005年8月，中央电视台《新闻调查》播出同性恋与AIDS预防专题节目“以生命的名义”，大玮以同性恋/HIV阳性双重身份自豪现身（主持人柴静，编导范铭）。In August 2005，CCTV's “News Investigation” aired a special program on homosexuality and AIDS prevention，“In the Name of Life”，in which Da Wei proudly appeared as a homosexual/HIV-positive person (host Chai Jing，writer-director Fan Ming).,https://news.sina.com.cn/c/2005-08-08/22417444875.shtml, 同性恋与AIDS预防专题节目
2016-2020,北京学生因演讲同性恋反歧视的内容被退学Beijing student expelled for speech on homophobia and anti-discrimination,"社会Society,2019",2019年12月18日微博用户@你的祎同学 实名发帖称自己曾是北京市经贸高级技术学校学生，因在一次活动中演讲了同性恋反歧视的内容而被校领导劝退，引起大量网友关注。On December 18 2019 microblogging user @your yi classmate real name posted that he was a former student of the Beijing Economic and Trade Senior Technical School and was discouraged by the school leadership for speaking about homosexuality and anti-discrimination at an event，which attracted a large number of netizens' attention.,https://chinadigitaltimes.net/chinese/662048.html, 北京学生因演讲同性恋反歧视的内容被退学
2016-2020,中国官方罕见公开讨论同性婚姻合法化Chinese Officials Publicly Discuss Legalizing Same-Sex Marriage,"社会Society,2019",2019年12月，负责法制事务的官员透露，有大量民众在人大征求意见中提出同性婚姻合法化应被写入民法典。中国媒体在周末亦发起了是否支持同性婚姻立法的投票，在两天的时间内吸引了数百万网友参与。结果显示，截至周日（12月22日）晚，支持与反对的比例约为6:4。In December 2019，officials in charge of legal affairs revealed that a large number of people had proposed in the National People's Congress (NPC) consultation that the legalization of same-sex marriages should be included in the Civil Code. Chinese media also launched a poll on whether to support same-sex marriage legislation over the weekend，which attracted millions of netizens over a two-day period. The results showed that as of Sunday night (Dec. 22)，the ratio of support to opposition was about 6:4.,https://www.bbc.com/zhongwen/simp/chinese-news-50888826, 中国官方罕见公开讨论同性婚姻合法化
2002-2015,教材污名化同性恋 秋白诉教育部 Administrative Case against National Educational Department for Homophobia Textbook,"法律与案件Law and Lawsuit,2015",2015年5月，因在教科书中看到“同性恋是病态”类似描述，秋白起诉广东高等教育出版社出版的“恐同”教材损害其名誉权。但法院认为“该出版行为与秋白没有法律上的直接利益关系”，未立案。秋白转而对教育部提起诉讼。在近十次提起诉讼和行政举报不予立案或回复后，在2017年3月2日，秋白败诉。In May 2015，Qiu Bai sued Guangdong Higher Education Publishing House for damaging her reputation by publishing a “homophobic” textbook because she saw similar descriptions of “homosexuality as a pathology” in the textbook. However，the court found that “the publication had no direct legal interest in Qubai” and did not open a case. Qiu Bai then filed a lawsuit against the Ministry of Education. On March 2 2017，Qiu Bai lost his case after nearly ten lawsuits and administrative reports were not filed or responded to.,https://zh.wikipedia.org/wiki/%E7%A7%8B%E7%99%BD%E8%AF%89%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E6%95%99%E8%82%B2%E9%83%A8%E6%A1%88, 教材同性恋污名化秋白诉教育部
2016-2020,驻马店扭转治疗人身自由权案Gay Man Sued Hospital Offering Conversion Therapy for Restricting Personal Freedom,"法律与案件Law and Lawsuit,2016",2016年5月17日，状告驻马店市精神病医院侵犯其人身自由、对其进行强制治疗。这一天，刚好是世界卫生组织将同性恋、双性恋从精神疾病分类手册中去除26周年。2017年6月26日，河南省驿城区人民法院作出一审判决，裁定驻马店市精神病院强制医疗的行为违法，判令医院在市级刊物公开道歉，并赔偿原告余虎（化名）精神损失费5000元。被告上诉但是后来撤诉。On May 17 2016，the lawsuit was filed against the Zhumadian Psychiatric Hospital for violating his personal freedom and subjecting him to compulsory treatment. This day happened to be the 26th anniversary of the World Health Organization's removal of homosexuality and bisexuality from its manual for classifying mental disorders.On June 26 2017，the Yicheng District People's Court of Henan Province issued a first-instance verdict，ruling that the Zhumadian Municipal Psychiatric Hospital's forced medical treatment was illegal，ordering the hospital to make a public apology in a municipal publication，and compensating the plaintiff，Yu Hu，(a pseudonym) for 5000 yuan of mental damages. The defendant appealed but later withdrew.,https://m.thepaper.cn/newsDetail_forward_1483114, 驻马店扭转治疗人身自由权案
2016-2020,起诉污名化教材出版社和京东Suing the homophobia out of China’s textbooks,"法律与案件Law and Lawsuit,2017",2017年4月至6月，包括西西以内的多名学生自发整理出全国47本错误描述同性恋的高校教材，并通过电子邮件或快递的方式寄出99封信件，试图通过对话的方式游说出版社与编者修订教材中的错误内容。截至8月5日，共20位教材利益相关方承诺将会对教材进行修改，占教材总数的42.55%。更有多位编者对教材中存在落后的错误内容、对同性恋学生造成伤害感到抱歉。2016年6月1日，就暨南大学出版社出版的《大学生心理健康教育》（张将星、曾庆主编）一书中出现污名同性恋的错误内容，西西给暨南大学出版社以及两位主编分别寄去公开信。主编曾庆在通话中表示对此会尽快进行处理但一直未处理。2017年7月6日，西西委托其代理律师，向江苏省宿迁市宿豫区人民法院提起产品质量纠纷诉讼，以该书内容中存在错误、误导等明显内容质量问题为由状告暨南大学出版社、江苏圆周电子商务有限公司（京东网上购物平台）。From April to June 2017，a number of students，including Xixi，took it upon themselves to compile 47 college textbooks across the country that incorrectly described homosexuality and sent 99 letters by email or courier in an attempt to lobby publishers and editors to revise the textbook's erroneous content through dialogue. As of August 5，a total of 20 textbook stakeholders，or 42.55% of the total number of textbooks，have promised to revise the textbooks. More than a few editors have apologized for the backward and erroneous content of the textbook and the harm it has caused to homosexual students.On June 1 2016，regarding the erroneous content stigmatizing homosexuality in the book Mental Health Education for College Students (edited by Zhang Zhaoxing and Zeng Qing) published by Jinan University Publishing House，Xixi sent an open letter to Jinan University Publishing House as well as to each of the two editors-in-chief. Zeng Qing，the editor-in-chief，said during the call that this would be dealt with as soon as possible，but has not been dealt with.On July 6，2017，Xixi entrusted his attorney to file a product quality dispute lawsuit to Suyu District People's Court in Suqian City，Jiangsu Province，suing Jinan University Press and Jiangsu Yuanyu E-commerce Company Limited (Beijing Jingdong online shopping platform) on the grounds of the book's content containing errors，misleading and other obvious content quality problems.,https://news.cctv.com/2020/09/14/ARTIT4IHXyzN69hXHR2cHrKu200914.shtml, 起诉污名化教材出版社和京东
